FlightDate,IATA_CODE_Reporting_Airline,flight_number,Tail_Number,Origin,OriginCityName,Dest,route,CRSDepTime,scheduled_departure_hour,scheduled_departure_bucket,DepTime,DepDelay,DepDelayMinutes,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,Distance
2024-01-01,DL,DL1695.0,N990AT,ATL,"Atlanta, GA",IAD,ATL→IAD,1407,14,afternoon,1403.0,-4.0,0.0,1548,1534.0,-14.0,0.0,False,,False,101.0,91.0,534.0
2024-01-01,DL,DL2549.0,N894DN,ATL,"Atlanta, GA",IAD,ATL→IAD,2250,22,night,2255.0,5.0,5.0,30,33.0,3.0,3.0,False,,False,100.0,98.0,534.0
2024-01-01,DL,DL2820.0,N953AT,ATL,"Atlanta, GA",IAD,ATL→IAD,915,9,late_morning,911.0,-4.0,0.0,1058,1040.0,-18.0,0.0,False,,False,103.0,89.0,534.0
2024-01-01,DL,DL2902.0,N978AT,ATL,"Atlanta, GA",IAD,ATL→IAD,1710,17,evening,1722.0,12.0,12.0,1849,1855.0,6.0,6.0,False,,False,99.0,93.0,534.0
2024-01-01,UA,UA2424.0,N878UA,ATL,"Atlanta, GA",IAD,ATL→IAD,1438,14,afternoon,1434.0,-4.0,0.0,1625,1627.0,2.0,2.0,False,,False,107.0,113.0,534.0
2024-01-01,WN,WN623.0,N290WN,ATL,"Atlanta, GA",IAD,ATL→IAD,1605,16,evening,1604.0,-1.0,0.0,1745,1738.0,-7.0,0.0,False,,False,100.0,94.0,534.0
2024-01-01,YX,YX3514.0,N769YX,ATL,"Atlanta, GA",IAD,ATL→IAD,1933,19,evening,1924.0,-9.0,0.0,2125,2127.0,2.0,2.0,False,,False,112.0,123.0,534.0
2024-01-01,MQ,MQ3685.0,N298FR,AUS,"Austin, TX",IAD,AUS→IAD,1025,10,late_morning,1017.0,-8.0,0.0,1431,1428.0,-3.0,0.0,False,,False,186.0,191.0,1297.0
2024-01-01,UA,UA400.0,N17565,AUS,"Austin, TX",IAD,AUS→IAD,1205,12,afternoon,1156.0,-9.0,0.0,1603,1546.0,-17.0,0.0,False,,False,178.0,170.0,1297.0
2024-01-01,UA,UA654.0,N69829,AUS,"Austin, TX",IAD,AUS→IAD,715,7,early_morning,708.0,-7.0,0.0,1114,1110.0,-4.0,0.0,False,,False,179.0,182.0,1297.0
2024-01-01,UA,UA1274.0,N37553,BDL,"Hartford, CT",IAD,BDL→IAD,600,6,early_morning,555.0,-5.0,0.0,726,716.0,-10.0,0.0,False,,False,86.0,81.0,325.0
2024-01-01,UA,UA2125.0,N37313,BNA,"Nashville, TN",IAD,BNA→IAD,1305,13,afternoon,1257.0,-8.0,0.0,1543,1531.0,-12.0,0.0,False,,False,98.0,94.0,542.0
2024-01-01,UA,UA495.0,N86534,BNA,"Nashville, TN",IAD,BNA→IAD,1835,18,evening,1834.0,-1.0,0.0,2113,2127.0,14.0,14.0,False,,False,98.0,113.0,542.0
2024-01-01,UA,UA1157.0,N68822,BOS,"Boston, MA",IAD,BOS→IAD,925,9,late_morning,928.0,3.0,3.0,1111,1102.0,-9.0,0.0,False,,False,106.0,94.0,413.0
2024-01-01,UA,UA1470.0,N69806,BOS,"Boston, MA",IAD,BOS→IAD,1425,14,afternoon,1422.0,-3.0,0.0,1611,1550.0,-21.0,0.0,False,,False,106.0,88.0,413.0
2024-01-01,UA,UA1785.0,N850UA,BOS,"Boston, MA",IAD,BOS→IAD,545,5,early_morning,542.0,-3.0,0.0,731,712.0,-19.0,0.0,False,,False,106.0,90.0,413.0
2024-01-01,UA,UA2136.0,N41140,BOS,"Boston, MA",IAD,BOS→IAD,1844,18,evening,1842.0,-2.0,0.0,2030,2012.0,-18.0,0.0,False,,False,106.0,90.0,413.0
2024-01-01,UA,UA255.0,N25705,BTV,"Burlington, VT",IAD,BTV→IAD,930,9,late_morning,928.0,-2.0,0.0,1120,1121.0,1.0,1.0,False,,False,110.0,113.0,441.0
2024-01-01,UA,UA636.0,N425UA,BTV,"Burlington, VT",IAD,BTV→IAD,1438,14,afternoon,1434.0,-4.0,0.0,1625,1623.0,-2.0,0.0,False,,False,107.0,109.0,441.0
2024-01-01,UA,UA2338.0,N17753,CHS,"Charleston, SC",IAD,CHS→IAD,1005,10,late_morning,1002.0,-3.0,0.0,1131,1119.0,-12.0,0.0,False,,False,86.0,77.0,441.0
2024-01-01,YX,YX3401.0,N768YX,CHS,"Charleston, SC",IAD,CHS→IAD,1510,15,afternoon,1606.0,56.0,56.0,1643,1759.0,76.0,76.0,False,,False,93.0,113.0,441.0
2024-01-01,UA,UA1348.0,N24202,CLE,"Cleveland, OH",IAD,CLE→IAD,615,6,early_morning,610.0,-5.0,0.0,731,732.0,1.0,1.0,False,,False,76.0,82.0,288.0
2024-01-01,OH,OH5017.0,N633NN,CLT,"Charlotte, NC",IAD,CLT→IAD,1809,18,evening,1802.0,-7.0,0.0,1939,1940.0,1.0,1.0,False,,False,90.0,98.0,322.0
2024-01-01,OH,OH5549.0,N579NN,CLT,"Charlotte, NC",IAD,CLT→IAD,2229,22,night,2226.0,-3.0,0.0,2358,2335.0,-23.0,0.0,False,,False,89.0,69.0,322.0
2024-01-01,OH,OH5582.0,N545PB,CLT,"Charlotte, NC",IAD,CLT→IAD,1606,16,evening,1616.0,10.0,10.0,1734,1733.0,-1.0,0.0,False,,False,88.0,77.0,322.0
2024-01-01,YX,YX3493.0,N655RW,CLT,"Charlotte, NC",IAD,CLT→IAD,1005,10,late_morning,958.0,-7.0,0.0,1138,1114.0,-24.0,0.0,False,,False,93.0,76.0,322.0
2024-01-01,YX,YX3430.0,N760YX,CMH,"Columbus, OH",IAD,CMH→IAD,600,6,early_morning,555.0,-5.0,0.0,725,724.0,-1.0,0.0,False,,False,85.0,89.0,299.0
2024-01-01,YX,YX3602.0,N721YX,CMH,"Columbus, OH",IAD,CMH→IAD,1452,14,afternoon,1444.0,-8.0,0.0,1616,1603.0,-13.0,0.0,False,,False,84.0,79.0,299.0
2024-01-01,YX,YX3662.0,N638RW,CMH,"Columbus, OH",IAD,CMH→IAD,1000,10,late_morning,957.0,-3.0,0.0,1125,1110.0,-15.0,0.0,False,,False,85.0,73.0,299.0
2024-01-01,YX,YX3445.0,N756YX,CVG,"Cincinnati, OH",IAD,CVG→IAD,1021,10,late_morning,1017.0,-4.0,0.0,1150,1149.0,-1.0,0.0,False,,False,89.0,92.0,388.0
2024-01-01,YX,YX3517.0,N638RW,CVG,"Cincinnati, OH",IAD,CVG→IAD,1456,14,afternoon,1453.0,-3.0,0.0,1625,1649.0,24.0,24.0,False,,False,89.0,116.0,388.0
2024-01-01,YX,YX3576.0,N979RP,CVG,"Cincinnati, OH",IAD,CVG→IAD,1948,19,evening,1958.0,10.0,10.0,2115,2133.0,18.0,18.0,False,,False,87.0,95.0,388.0
2024-01-01,UA,UA1101.0,N68891,DEN,"Denver, CO",IAD,DEN→IAD,805,8,early_morning,801.0,-4.0,0.0,1323,1310.0,-13.0,0.0,False,,False,198.0,189.0,1452.0
2024-01-01,UA,UA1328.0,N27539,DEN,"Denver, CO",IAD,DEN→IAD,1350,13,afternoon,1420.0,30.0,30.0,1908,1938.0,30.0,30.0,False,,False,198.0,198.0,1452.0
2024-01-01,UA,UA2087.0,N33103,DEN,"Denver, CO",IAD,DEN→IAD,940,9,late_morning,942.0,2.0,2.0,1456,1455.0,-1.0,0.0,False,,False,196.0,193.0,1452.0
2024-01-01,UA,UA267.0,N66848,DEN,"Denver, CO",IAD,DEN→IAD,600,6,early_morning,554.0,-6.0,0.0,1118,1111.0,-7.0,0.0,False,,False,198.0,197.0,1452.0
2024-01-01,UA,UA271.0,N768UA,DEN,"Denver, CO",IAD,DEN→IAD,1748,17,evening,1806.0,18.0,18.0,2258,2319.0,21.0,21.0,False,,False,190.0,193.0,1452.0
2024-01-01,UA,UA356.0,N68823,DEN,"Denver, CO",IAD,DEN→IAD,2359,23,night,16.0,17.0,17.0,515,530.0,15.0,15.0,False,,False,196.0,194.0,1452.0
2024-01-01,UA,UA798.0,N66848,DEN,"Denver, CO",IAD,DEN→IAD,1559,15,afternoon,1559.0,0.0,0.0,2115,2124.0,9.0,9.0,False,,False,196.0,205.0,1452.0
2024-01-01,WN,WN2911.0,N419WN,DEN,"Denver, CO",IAD,DEN→IAD,1340,13,afternoon,1345.0,5.0,5.0,1845,1904.0,19.0,19.0,False,,False,185.0,199.0,1452.0
2024-01-01,WN,WN785.0,N462WN,DEN,"Denver, CO",IAD,DEN→IAD,1105,11,late_morning,1103.0,-2.0,0.0,1615,1630.0,15.0,15.0,False,,False,190.0,207.0,1452.0
2024-01-01,AA,AA1863.0,N846NN,DFW,"Dallas/Fort Worth, TX",IAD,DFW→IAD,1225,12,afternoon,1220.0,-5.0,0.0,1609,1616.0,7.0,7.0,False,,False,164.0,176.0,1172.0
2024-01-01,AA,AA413.0,N983NN,DFW,"Dallas/Fort Worth, TX",IAD,DFW→IAD,1915,19,evening,1909.0,-6.0,0.0,2256,2304.0,8.0,8.0,False,,False,161.0,175.0,1172.0
2024-01-01,UA,UA1240.0,N805UA,DFW,"Dallas/Fort Worth, TX",IAD,DFW→IAD,1735,17,evening,1730.0,-5.0,0.0,2117,2114.0,-3.0,0.0,False,,False,162.0,164.0,1172.0
2024-01-01,UA,UA358.0,N76516,DFW,"Dallas/Fort Worth, TX",IAD,DFW→IAD,1216,12,afternoon,1209.0,-7.0,0.0,1558,1557.0,-1.0,0.0,False,,False,162.0,168.0,1172.0
2024-01-01,OO,OO3853.0,N548CA,DTW,"Detroit, MI",IAD,DTW→IAD,1005,10,late_morning,1005.0,0.0,0.0,1141,1133.0,-8.0,0.0,False,,False,96.0,88.0,383.0
2024-01-01,OO,OO4034.0,N831SK,DTW,"Detroit, MI",IAD,DTW→IAD,2120,21,night,2112.0,-8.0,0.0,2301,2235.0,-26.0,0.0,False,,False,101.0,83.0,383.0
2024-01-01,YX,YX3560.0,N758YX,DTW,"Detroit, MI",IAD,DTW→IAD,1948,19,evening,2015.0,27.0,27.0,2120,2151.0,31.0,31.0,False,,False,92.0,96.0,383.0
2024-01-01,UA,UA2494.0,N39415,EWR,"Newark, NJ",IAD,EWR→IAD,1930,19,evening,1939.0,9.0,9.0,2049,2054.0,5.0,5.0,False,,False,79.0,75.0,212.0
2024-01-01,YX,YX3429.0,N639RW,EWR,"Newark, NJ",IAD,EWR→IAD,1445,14,afternoon,1445.0,0.0,0.0,1615,1605.0,-10.0,0.0,False,,False,90.0,80.0,212.0
2024-01-01,YX,YX3591.0,N755YX,EWR,"Newark, NJ",IAD,EWR→IAD,600,6,early_morning,552.0,-8.0,0.0,728,656.0,-32.0,0.0,False,,False,88.0,64.0,212.0
2024-01-01,UA,UA546.0,N39726,EYW,"Key West, FL",IAD,EYW→IAD,1215,12,afternoon,1442.0,147.0,147.0,1455,1755.0,180.0,180.0,False,,False,160.0,193.0,1023.0
2024-01-01,UA,UA1750.0,N38446,FLL,"Fort Lauderdale, FL",IAD,FLL→IAD,845,8,early_morning,836.0,-9.0,0.0,1117,1051.0,-26.0,0.0,False,,False,152.0,135.0,901.0
2024-01-01,UA,UA315.0,N67812,FLL,"Fort Lauderdale, FL",IAD,FLL→IAD,1325,13,afternoon,1323.0,-2.0,0.0,1557,1629.0,32.0,32.0,False,,False,152.0,186.0,901.0
2024-01-01,UA,UA631.0,N53442,FLL,"Fort Lauderdale, FL",IAD,FLL→IAD,1810,18,evening,1805.0,-5.0,0.0,2042,2029.0,-13.0,0.0,False,,False,152.0,144.0,901.0
2024-01-01,UA,UA344.0,N66051,HNL,"Honolulu, HI",IAD,HNL→IAD,1640,16,evening,1643.0,3.0,3.0,657,642.0,-15.0,0.0,False,,False,557.0,539.0,4817.0
2024-01-01,UA,UA1975.0,N24706,IAH,"Houston, TX",IAD,IAH→IAD,1630,16,evening,1627.0,-3.0,0.0,2022,2015.0,-7.0,0.0,False,,False,172.0,168.0,1190.0
2024-01-01,UA,UA2474.0,N13716,IAH,"Houston, TX",IAD,IAH→IAD,1808,18,evening,1800.0,-8.0,0.0,2200,2149.0,-11.0,0.0,False,,False,172.0,169.0,1190.0
2024-01-01,UA,UA499.0,N27908,IAH,"Houston, TX",IAD,IAH→IAD,1215,12,afternoon,1215.0,0.0,0.0,1558,1626.0,28.0,28.0,False,,False,163.0,191.0,1190.0
2024-01-01,YX,YX3530.0,N754YX,IND,"Indianapolis, IN",IAD,IND→IAD,1439,14,afternoon,1435.0,-4.0,0.0,1621,1627.0,6.0,6.0,False,,False,102.0,112.0,476.0
2024-01-01,YX,YX3709.0,N743YX,IND,"Indianapolis, IN",IAD,IND→IAD,1010,10,late_morning,957.0,-13.0,0.0,1150,1134.0,-16.0,0.0,False,,False,100.0,97.0,476.0
2024-01-01,UA,UA310.0,N1902U,JAX,"Jacksonville, FL",IAD,JAX→IAD,1922,19,evening,1910.0,-12.0,0.0,2111,2051.0,-20.0,0.0,False,,False,109.0,101.0,630.0
2024-01-01,YX,YX3455.0,N863RW,JAX,"Jacksonville, FL",IAD,JAX→IAD,1400,14,afternoon,1400.0,0.0,0.0,1550,1544.0,-6.0,0.0,False,,False,110.0,104.0,630.0
2024-01-01,9E,9E5299.0,N195PQ,JFK,"New York, NY",IAD,JFK→IAD,1500,15,afternoon,1456.0,-4.0,0.0,1639,1633.0,-6.0,0.0,False,,False,99.0,97.0,228.0
2024-01-01,OO,OO5046.0,N904EV,JST,"Johnstown, PA",IAD,JST→IAD,1031,10,late_morning,1022.0,-9.0,0.0,1150,1205.0,15.0,15.0,False,,False,79.0,103.0,120.0
2024-01-01,UA,UA1086.0,N17529,LAS,"Las Vegas, NV",IAD,LAS→IAD,2339,23,night,2330.0,-9.0,0.0,700,649.0,-11.0,0.0,False,,False,261.0,259.0,2065.0
2024-01-01,UA,UA1961.0,N76054,LAS,"Las Vegas, NV",IAD,LAS→IAD,1315,13,afternoon,1303.0,-12.0,0.0,2033,2026.0,-7.0,0.0,False,,False,258.0,263.0,2065.0
2024-01-01,AS,AS310.0,N918AK,LAX,"Los Angeles, CA",IAD,LAX→IAD,1140,11,late_morning,1147.0,7.0,7.0,1930,1935.0,5.0,5.0,False,,False,290.0,288.0,2288.0
2024-01-01,UA,UA1635.0,N220UA,LAX,"Los Angeles, CA",IAD,LAX→IAD,1307,13,afternoon,1306.0,-1.0,0.0,2041,2058.0,17.0,17.0,False,,False,274.0,292.0,2288.0
2024-01-01,UA,UA1892.0,N57863,LAX,"Los Angeles, CA",IAD,LAX→IAD,2355,23,night,2359.0,4.0,4.0,735,754.0,19.0,19.0,False,,False,280.0,295.0,2288.0
2024-01-01,UA,UA2413.0,N29984,LAX,"Los Angeles, CA",IAD,LAX→IAD,840,8,early_morning,839.0,-1.0,0.0,1611,1624.0,13.0,13.0,False,,False,271.0,285.0,2288.0
2024-01-01,UA,UA352.0,N37563,LAX,"Los Angeles, CA",IAD,LAX→IAD,1100,11,late_morning,1056.0,-4.0,0.0,1845,1848.0,3.0,3.0,False,,False,285.0,292.0,2288.0
2024-01-01,UA,UA684.0,N37553,LAX,"Los Angeles, CA",IAD,LAX→IAD,2115,21,night,2303.0,108.0,108.0,458,659.0,121.0,121.0,False,,False,283.0,296.0,2288.0
2024-01-01,UA,UA783.0,N37420,LAX,"Los Angeles, CA",IAD,LAX→IAD,1615,16,evening,1609.0,-6.0,0.0,2358,2354.0,-4.0,0.0,False,,False,283.0,285.0,2288.0
2024-01-01,YX,YX3438.0,N638RW,LGA,"New York, NY",IAD,LGA→IAD,1952,19,evening,1947.0,-5.0,0.0,2120,2101.0,-19.0,0.0,False,,False,88.0,74.0,229.0
2024-01-01,YX,YX3457.0,N749YX,LGA,"New York, NY",IAD,LGA→IAD,603,6,early_morning,602.0,-1.0,0.0,728,720.0,-8.0,0.0,False,,False,85.0,78.0,229.0
2024-01-01,YX,YX3474.0,N747YX,LGA,"New York, NY",IAD,LGA→IAD,1446,14,afternoon,1444.0,-2.0,0.0,1617,1616.0,-1.0,0.0,False,,False,91.0,92.0,229.0
2024-01-01,YX,YX3552.0,N657RW,LGA,"New York, NY",IAD,LGA→IAD,1028,10,late_morning,1126.0,58.0,58.0,1150,1237.0,47.0,47.0,False,,False,82.0,71.0,229.0
2024-01-01,UA,UA1469.0,N37427,MCO,"Orlando, FL",IAD,MCO→IAD,1909,19,evening,1908.0,-1.0,0.0,2120,2112.0,-8.0,0.0,False,,False,131.0,124.0,758.0
2024-01-01,UA,UA2065.0,N66825,MCO,"Orlando, FL",IAD,MCO→IAD,1622,16,evening,1615.0,-7.0,0.0,1833,1827.0,-6.0,0.0,False,,False,131.0,132.0,758.0
2024-01-01,UA,UA2264.0,N56859,MCO,"Orlando, FL",IAD,MCO→IAD,1355,13,afternoon,1350.0,-5.0,0.0,1605,1557.0,-8.0,0.0,False,,False,130.0,127.0,758.0
2024-01-01,UA,UA394.0,N66803,MCO,"Orlando, FL",IAD,MCO→IAD,900,9,late_morning,856.0,-4.0,0.0,1111,1054.0,-17.0,0.0,False,,False,131.0,118.0,758.0
2024-01-01,UA,UA442.0,N37263,MCO,"Orlando, FL",IAD,MCO→IAD,1200,12,afternoon,1200.0,0.0,0.0,1412,1404.0,-8.0,0.0,False,,False,132.0,124.0,758.0
2024-01-01,WN,WN3101.0,N258WN,MDW,"Chicago, IL",IAD,MDW→IAD,1850,18,evening,1901.0,11.0,11.0,2130,2144.0,14.0,14.0,False,,False,100.0,103.0,577.0
2024-01-01,WN,WN329.0,N8747Q,MDW,"Chicago, IL",IAD,MDW→IAD,840,8,early_morning,839.0,-1.0,0.0,1120,1139.0,19.0,19.0,False,,False,100.0,120.0,577.0
2024-01-01,UA,UA1005.0,N37465,MIA,"Miami, FL",IAD,MIA→IAD,1320,13,afternoon,1311.0,-9.0,0.0,1555,1539.0,-16.0,0.0,False,,False,155.0,148.0,921.0
2024-01-01,UA,UA1287.0,N37525,MIA,"Miami, FL",IAD,MIA→IAD,845,8,early_morning,924.0,39.0,39.0,1120,1139.0,19.0,19.0,False,,False,155.0,135.0,921.0
2024-01-01,9E,9E4928.0,N304PQ,MSP,"Minneapolis, MN",IAD,MSP→IAD,1020,10,late_morning,1010.0,-10.0,0.0,1402,1337.0,-25.0,0.0,False,,False,162.0,147.0,908.0
2024-01-01,OO,OO3868.0,N296SY,MSP,"Minneapolis, MN",IAD,MSP→IAD,2010,20,night,2003.0,-7.0,0.0,3,2.0,-1.0,0.0,False,,False,173.0,179.0,908.0
2024-01-01,UA,UA1306.0,N57439,MSY,"New Orleans, LA",IAD,MSY→IAD,801,8,early_morning,754.0,-7.0,0.0,1123,1105.0,-18.0,0.0,False,,False,142.0,131.0,955.0
2024-01-01,UA,UA1887.0,N62883,ORD,"Chicago, IL",IAD,ORD→IAD,1310,13,afternoon,1312.0,2.0,2.0,1604,1607.0,3.0,3.0,False,,False,114.0,115.0,588.0
2024-01-01,UA,UA2228.0,N37277,ORD,"Chicago, IL",IAD,ORD→IAD,850,8,early_morning,846.0,-4.0,0.0,1144,1147.0,3.0,3.0,False,,False,114.0,121.0,588.0
2024-01-01,UA,UA2386.0,N14250,ORD,"Chicago, IL",IAD,ORD→IAD,2109,21,night,2105.0,-4.0,0.0,2359,2347.0,-12.0,0.0,False,,False,110.0,102.0,588.0
2024-01-01,UA,UA2418.0,N4901U,ORD,"Chicago, IL",IAD,ORD→IAD,1810,18,evening,1826.0,16.0,16.0,2109,2119.0,10.0,10.0,False,,False,119.0,113.0,588.0
2024-01-01,YX,YX3402.0,N657RW,ORF,"Norfolk, VA",IAD,ORF→IAD,615,6,early_morning,612.0,-3.0,0.0,723,707.0,-16.0,0.0,False,,False,68.0,55.0,157.0
2024-01-01,UA,UA2357.0,N37553,PBI,"West Palm Beach/Palm Beach, FL",IAD,PBI→IAD,1340,13,afternoon,1331.0,-9.0,0.0,1543,1620.0,37.0,37.0,False,,False,123.0,169.0,859.0
2024-01-01,UA,UA1292.0,N68801,PHX,"Phoenix, AZ",IAD,PHX→IAD,2250,22,night,2245.0,-5.0,0.0,500,451.0,-9.0,0.0,False,,False,250.0,246.0,1956.0
2024-01-01,UA,UA1354.0,N27421,PHX,"Phoenix, AZ",IAD,PHX→IAD,910,9,late_morning,901.0,-9.0,0.0,1520,1504.0,-16.0,0.0,False,,False,250.0,243.0,1956.0
2024-01-01,YX,YX3488.0,N768YX,PIT,"Pittsburgh, PA",IAD,PIT→IAD,1025,10,late_morning,1017.0,-8.0,0.0,1137,1135.0,-2.0,0.0,False,,False,72.0,78.0,182.0
2024-01-01,YX,YX3675.0,N862RW,PVD,"Providence, RI",IAD,PVD→IAD,545,5,early_morning,538.0,-7.0,0.0,732,710.0,-22.0,0.0,False,,False,107.0,92.0,371.0
2024-01-01,YX,YX3496.0,N758YX,PWM,"Portland, ME",IAD,PWM→IAD,1422,14,afternoon,1421.0,-1.0,0.0,1620,1622.0,2.0,2.0,False,,False,118.0,121.0,493.0
2024-01-01,YX,YX3643.0,N639RW,PWM,"Portland, ME",IAD,PWM→IAD,530,5,early_morning,529.0,-1.0,0.0,732,717.0,-15.0,0.0,False,,False,122.0,108.0,493.0
2024-01-01,UA,UA329.0,N818UA,RDU,"Raleigh/Durham, NC",IAD,RDU→IAD,1026,10,late_morning,1016.0,-10.0,0.0,1131,1115.0,-16.0,0.0,False,,False,65.0,59.0,224.0
2024-01-01,UA,UA717.0,N76529,RDU,"Raleigh/Durham, NC",IAD,RDU→IAD,1510,15,afternoon,1515.0,5.0,5.0,1615,1654.0,39.0,39.0,False,,False,65.0,99.0,224.0
2024-01-01,UA,UA1349.0,N17316,RSW,"Fort Myers, FL",IAD,RSW→IAD,1350,13,afternoon,1357.0,7.0,7.0,1615,1630.0,15.0,15.0,False,,False,145.0,153.0,891.0
2024-01-01,UA,UA1764.0,N53442,RSW,"Fort Myers, FL",IAD,RSW→IAD,900,9,late_morning,857.0,-3.0,0.0,1125,1112.0,-13.0,0.0,False,,False,145.0,135.0,891.0
2024-01-01,AS,AS322.0,N469AS,SAN,"San Diego, CA",IAD,SAN→IAD,800,8,early_morning,742.0,-18.0,0.0,1545,1521.0,-24.0,0.0,False,,False,285.0,279.0,2253.0
2024-01-01,UA,UA1873.0,N37540,SAN,"San Diego, CA",IAD,SAN→IAD,800,8,early_morning,754.0,-6.0,0.0,1543,1543.0,0.0,0.0,False,,False,283.0,289.0,2253.0
2024-01-01,UA,UA2129.0,N37536,SAN,"San Diego, CA",IAD,SAN→IAD,2120,21,night,2119.0,-1.0,0.0,504,500.0,-4.0,0.0,False,,False,284.0,281.0,2253.0
2024-01-01,UA,UA2221.0,N213UA,SAN,"San Diego, CA",IAD,SAN→IAD,1305,13,afternoon,1302.0,-3.0,0.0,2035,2041.0,6.0,6.0,False,,False,270.0,279.0,2253.0
2024-01-01,UA,UA1347.0,N415UA,SAT,"San Antonio, TX",IAD,SAT→IAD,720,7,early_morning,714.0,-6.0,0.0,1123,1108.0,-15.0,0.0,False,,False,183.0,174.0,1362.0
2024-01-01,UA,UA2250.0,N37287,SAT,"San Antonio, TX",IAD,SAT→IAD,1213,12,afternoon,1206.0,-7.0,0.0,1620,1603.0,-17.0,0.0,False,,False,187.0,177.0,1362.0
2024-01-01,YX,YX3403.0,N979RP,SDF,"Louisville, KY",IAD,SDF→IAD,1420,14,afternoon,1414.0,-6.0,0.0,1557,1548.0,-9.0,0.0,False,,False,97.0,94.0,451.0
2024-01-01,AS,AS348.0,N946AK,SEA,"Seattle, WA",IAD,SEA→IAD,1558,15,afternoon,1601.0,3.0,3.0,2359,3.0,4.0,4.0,False,,False,301.0,302.0,2306.0
2024-01-01,AS,AS406.0,N594AS,SEA,"Seattle, WA",IAD,SEA→IAD,1000,10,late_morning,1005.0,5.0,5.0,1801,1805.0,4.0,4.0,False,,False,301.0,300.0,2306.0
2024-01-01,DL,DL441.0,N303DU,SEA,"Seattle, WA",IAD,SEA→IAD,820,8,early_morning,811.0,-9.0,0.0,1625,1612.0,-13.0,0.0,False,,False,305.0,301.0,2306.0
2024-01-01,UA,UA1360.0,N39728,SEA,"Seattle, WA",IAD,SEA→IAD,804,8,early_morning,819.0,15.0,15.0,1558,1629.0,31.0,31.0,False,,False,294.0,310.0,2306.0
2024-01-01,UA,UA1370.0,N76502,SEA,"Seattle, WA",IAD,SEA→IAD,1300,13,afternoon,1254.0,-6.0,0.0,2054,2047.0,-7.0,0.0,False,,False,294.0,293.0,2306.0
2024-01-01,AS,AS434.0,N413AS,SFO,"San Francisco, CA",IAD,SFO→IAD,700,7,early_morning,747.0,47.0,47.0,1500,1615.0,75.0,75.0,False,,False,300.0,328.0,2419.0
2024-01-01,UA,UA2243.0,N2331U,SFO,"San Francisco, CA",IAD,SFO→IAD,825,8,early_morning,821.0,-4.0,0.0,1620,1640.0,20.0,20.0,False,,False,295.0,319.0,2419.0
2024-01-01,UA,UA2626.0,N47517,SFO,"San Francisco, CA",IAD,SFO→IAD,1650,16,evening,1646.0,-4.0,0.0,50,116.0,26.0,26.0,False,,False,300.0,330.0,2419.0
2024-01-01,UA,UA2667.0,N26902,SFO,"San Francisco, CA",IAD,SFO→IAD,1310,13,afternoon,1312.0,2.0,2.0,2104,2103.0,-1.0,0.0,False,,False,294.0,291.0,2419.0
2024-01-01,UA,UA487.0,N57857,SFO,"San Francisco, CA",IAD,SFO→IAD,1120,11,late_morning,1119.0,-1.0,0.0,1924,1949.0,25.0,25.0,False,,False,304.0,330.0,2419.0
2024-01-01,UA,UA519.0,N57852,SFO,"San Francisco, CA",IAD,SFO→IAD,2338,23,night,2332.0,-6.0,0.0,735,731.0,-4.0,0.0,False,,False,297.0,299.0,2419.0
2024-01-01,UA,UA2022.0,N47524,SJU,"San Juan, PR",IAD,SJU→IAD,815,8,early_morning,809.0,-6.0,0.0,1115,1101.0,-14.0,0.0,False,,False,240.0,232.0,1571.0
2024-01-01,UA,UA2024.0,N69826,SJU,"San Juan, PR",IAD,SJU→IAD,1750,17,evening,1743.0,-7.0,0.0,2045,2036.0,-9.0,0.0,False,,False,235.0,233.0,1571.0
2024-01-01,DL,DL784.0,N374DA,SLC,"Salt Lake City, UT",IAD,SLC→IAD,1130,11,late_morning,1141.0,11.0,11.0,1725,1759.0,34.0,34.0,False,,False,235.0,258.0,1828.0
2024-01-01,UA,UA1322.0,N854UA,SMF,"Sacramento, CA",IAD,SMF→IAD,800,8,early_morning,748.0,-12.0,0.0,1547,1614.0,27.0,27.0,False,,False,287.0,326.0,2358.0
2024-01-01,UA,UA2497.0,N850UA,SRQ,"Sarasota/Bradenton, FL",IAD,SRQ→IAD,1350,13,afternoon,1341.0,-9.0,0.0,1607,1549.0,-18.0,0.0,False,,False,137.0,128.0,849.0
2024-01-01,UA,UA1445.0,N21723,STT,"Charlotte Amalie, VI",IAD,STT→IAD,1300,13,afternoon,1248.0,-12.0,0.0,1615,1603.0,-12.0,0.0,False,,False,255.0,255.0,1606.0
2024-01-01,UA,UA2045.0,N27268,TPA,"Tampa, FL",IAD,TPA→IAD,1842,18,evening,1850.0,8.0,8.0,2057,2100.0,3.0,3.0,False,,False,135.0,130.0,811.0
2024-01-01,UA,UA2081.0,N76529,TPA,"Tampa, FL",IAD,TPA→IAD,902,9,late_morning,857.0,-5.0,0.0,1117,1058.0,-19.0,0.0,False,,False,135.0,121.0,811.0
2024-01-01,UA,UA2398.0,N27520,TPA,"Tampa, FL",IAD,TPA→IAD,1405,14,afternoon,1359.0,-6.0,0.0,1620,1610.0,-10.0,0.0,False,,False,135.0,131.0,811.0
